Model,Mean_OOS_Accuracy,Mean_OOS_Precision,Mean_OOS_Recall,Mean_OOS_F1_Score,Mean_OOS_AUC,Mean_In_Sample_Accuracy,Mean_In_Sample_Precision,Mean_In_Sample_Recall,Mean_In_Sample_F1_Score,Mean_In_Sample_AUC
LDA,0.8169856700143174,0.1288230032445893,0.1031652251699414,0.11455944041946783,0.532062057814543,0.8724861018157911,0.9026459710535099,0.8350342082627981,0.8675244400918674,0.9240244529620132
Random Forest,0.8719283493459461,0.17855002357698369,0.03237945321515551,0.05480239851785389,0.5854583935713292,0.9999970731564545,1.0,0.9999941463129088,0.9999970731136217,1.0
SVM,0.8169856700143174,0.1288230032445893,0.1031652251699414,0.11455944041946783,0.532062057814543,0.8724861018157911,0.9026459710535099,0.8350342082627981,0.8675244400918674,0.9240244529620132
KNN,0.8140410273668521,0.14994830174210008,0.1329223258932977,0.1409009511823906,0.5506619872548483,0.9140971728514076,0.9319499176803288,0.89343225613839,0.9122845882216645,0.9744987824830883
Naive Bayes,0.5818592642897731,0.1231628407823849,0.4321204841205237,0.19167665974088122,0.5198625716385284,0.7457597213244515,0.6904985215637327,0.8908174116802133,0.7779684187494386,0.8778748537667165
